rank,artist,track,scrobbles,lyrics,has_lyrics,lyrics_length,lyrics_word_count,lyrics_cache_path,tracks_fetched_at,compiled_at
1,"Dave Grohl, Josh Homme, Trent Reznor",Mantra (instrumental),178,,False,0,0,,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.922640
2,Queens of the Stone Age,The Blood Is Love,150,"Saw you in a way beyond figurin' out
These lines of life have been drawn, and can't be removed
Our eyes is all it took to know
Open up your eyes, deep blue, glassy lake
And swim 'til water and sky now are one, out of two
Oh, my bloodshot eyes
Open up your mouth, touch your lips to mine
That we may make a kiss that can pierce through death and survive
Your words have branded my mind


But still I hold your hand, wrapped as if a ring
We of flesh and blood are only carrying
It's so hard to
Well, yo...",True,707,145,/Users/maxfiep/Library/CloudStorage/GoogleDrive-pmaxfield@gmail.com/My Drive/git_personal/Pete_Sandbox_personal/last.fm/Lyrics_top_songs/cache/lyrics/queens_of_the_stone_age/the_blood_is_love.txt,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.923094
3,Death from Above 1979,Turn It Out,134,"Be there for you
Someday soon
Don't hold your breath

I'm on the move, I'm on the
Move

I know you have
So much to
Say to me but

I'm on the move, I'm on the
Move

Move
Move, move
Oh, we'll take the time
Take the time to turn it out",True,232,52,/Users/maxfiep/Library/CloudStorage/GoogleDrive-pmaxfield@gmail.com/My Drive/git_personal/Pete_Sandbox_personal/last.fm/Lyrics_top_songs/cache/lyrics/death_from_above_1979/turn_it_out.txt,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.923468
4,Death from Above 1979,NVR 4EVR,128,"I wanted to leave
She said ""I know what you mean
But it might be cool if you stick around""
""Got nothing to say""
She said ""Just talk anyway
You got a real cool way of putting things down""

I know it's hard for you
To see, to see things through

I'm a lot like you so let's try to see where it goes
Don't go away too soon I'll follow
But never forever
Never forever

I wanted to preach
She said ""Just wait up for me I've got a lot more me to think about""
I said ""Go ahead I'll think about you as well
Y...",True,1005,209,/Users/maxfiep/Library/CloudStorage/GoogleDrive-pmaxfield@gmail.com/My Drive/git_personal/Pete_Sandbox_personal/last.fm/Lyrics_top_songs/cache/lyrics/death_from_above_1979/nvr_4evr.txt,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.923695
5,Death from Above 1979,Going Steady,114,"Oh you should see her now, we still love her now
She is going steady, but we're not ready
We're not ready, oh, to see her fall, to see her fall
To see her fall in love

I know you are getting older
We should never turn our shoulder
I have never seen you suffer
I will never hurt you mother
I know you are getting older
We should never turn our shoulder
I have never seen you suffer
I will never hurt you mother
I know you are getting older
We should never turn our shoulder

I will never make you suf...",True,532,109,/Users/maxfiep/Library/CloudStorage/GoogleDrive-pmaxfield@gmail.com/My Drive/git_personal/Pete_Sandbox_personal/last.fm/Lyrics_top_songs/cache/lyrics/death_from_above_1979/going_steady.txt,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.923912
6,Alice in Chains,Would?,110,"Would

Know me, broken 
by my master
Teach thee on child of 
love hereafter

Into the flood again
Same old trip it was back then
So I made a big mistake
Try to see it once my way

Drifting body, it's 
sole desertion
Flying not yet, 
quite the notion

Into the flood again
Same old trip it was back then
So I made a big mistake
Try to see it once my way


Into the flood again
Same old trip it was back then
So I made a big mistake
Try to see it once my way, yeah

Am I wrong?
Have I run too far to ge...",True,645,140,/Users/maxfiep/Library/CloudStorage/GoogleDrive-pmaxfield@gmail.com/My Drive/git_personal/Pete_Sandbox_personal/last.fm/Lyrics_top_songs/cache/lyrics/alice_in_chains/would.txt,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.924405
7,Death from Above 1979,Sexy Results,110,"(Résultats sexuels)
(Les résultats sont super sexuels)

Sexy girl, meet me in the bathroom
Sexy girl, call me on the phone
Woman friend, take me to your bedroom
Let me show how I am full grown

Sexy woman, call me to your office
Sexy woman, meet me after work
I wanna show you how I handle business
I wanna show you how the mail-boy flirts
(C'est sexy)

My man wants to buy you something
He wants to take you out for dinner and dancing
My friend wants to take you out then home
Then home alone

Sexy ...",True,1062,213,/Users/maxfiep/Library/CloudStorage/GoogleDrive-pmaxfield@gmail.com/My Drive/git_personal/Pete_Sandbox_personal/last.fm/Lyrics_top_songs/cache/lyrics/death_from_above_1979/sexy_results.txt,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.924975
8,Queens of the Stone Age,Misfit Love,98,"Wanna see my past in flames?
Don't waste a drop, baby, I ain't fussed
Where I was born, no escape
There there ain't even no good bad drugs
In the city, is it true?
If you don't, you act like you do
Feast of fools, I can't wait
Give 'em a taste of my misfit love

Complicate
Incarcerate
Feel my heart break up

Ain't born to lose, baby
I'm born to win
I'm so goddamn sick, baby, it's a sin
(It's a sin, oh)

Transforming
(Thrill, I need a thrill, a thrill, I need a thrill, oh, I want a thrill)
Is bec...",True,1739,359,/Users/maxfiep/Library/CloudStorage/GoogleDrive-pmaxfield@gmail.com/My Drive/git_personal/Pete_Sandbox_personal/last.fm/Lyrics_top_songs/cache/lyrics/queens_of_the_stone_age/misfit_love.txt,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.925529
9,deadmau5,Messages from nowhere,97,,False,0,0,,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.925567
10,Mad Season,November Hotel,95,,False,0,0,,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.925592
11,Niteppl,Schatner,93,,False,0,0,,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.925614
12,Them Crooked Vultures,Spinning in Daffodils,90,"Once, out in the rain
I was able to strangle my shadow, unshackle the chain (Chain)
What, What will you do?
Is it safe to play God in the garden and king of the zoo? (You)
Holes, well, they need to be filled
Positions available, yet some are quite hard to get out of, or in (In)

Spinning in the daffodils
Dizzy from a dozen twirls
Spinning in the daffodils

Yeah, yeah
Yeah

Cold, alone and alive
You're afraid but that's not what I asked, wanna go for a ride?
Sharpen your teeth, my darlings, sharp...",True,1323,262,/Users/maxfiep/Library/CloudStorage/GoogleDrive-pmaxfield@gmail.com/My Drive/git_personal/Pete_Sandbox_personal/last.fm/Lyrics_top_songs/cache/lyrics/them_crooked_vultures/spinning_in_daffodils.txt,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.925928
13,Death from Above 1979,Nomad,86,"Chosen
Things are chosen for you
Setting
Stones are thrown at you
Questions
Everything is outside
Settings
Sunset station petting shadows
Nomad never home
No matter where you go
Cut down like they cut you
No matter what you do
Messes
Wander through the ages
Faces
Hidden from the day
Shiny
Levels under touch you
Dreams are like
Water to the fires of nightmare lives
Nomad never home
No matter where you go
Push them like they push you
No matter what you do
Nomad never home
No matter where you go",True,497,92,/Users/maxfiep/Library/CloudStorage/GoogleDrive-pmaxfield@gmail.com/My Drive/git_personal/Pete_Sandbox_personal/last.fm/Lyrics_top_songs/cache/lyrics/death_from_above_1979/nomad.txt,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.926252
14,Kinski,Schedule for Using Pillows & Beanbags,86,,False,0,0,,2025-12-07T14:15:41.690602,2025-12-07T15:04:35.926277
