rank,artist,track,total_words,unique_words,unique_ratio
2,Queens of the Stone Age,The Blood Is Love,145,61,0.4206896551724138
3,Death from Above 1979,Turn It Out,52,13,0.25
4,Death from Above 1979,NVR 4EVR,209,38,0.18181818181818182
5,Death from Above 1979,Going Steady,109,17,0.1559633027522936
6,Alice in Chains,Would?,140,33,0.2357142857142857
7,Death from Above 1979,Sexy Results,216,36,0.16666666666666666
8,Queens of the Stone Age,Misfit Love,360,83,0.23055555555555557
12,Them Crooked Vultures,Spinning in Daffodils,264,73,0.2765151515151515
13,Death from Above 1979,Nomad,92,33,0.358695652173913
15,Death from Above 1979,White Is Red,342,78,0.22807017543859648
16,Alice in Chains,No Excuses,153,54,0.35294117647058826
17,Jack White,Hypocritical Kiss,158,52,0.3291139240506329
18,Queens of the Stone Age,I Sat by the Ocean,195,65,0.3333333333333333
19,Jamiroquai,Cloud 9,316,66,0.2088607594936709
20,Tool,Parabola,165,37,0.22424242424242424
21,Reignwolf,Alligator,63,16,0.25396825396825395
22,The Cult,Phoenix,157,21,0.1337579617834395
23,The Heavy Eyes,Old Saltillo Road,202,54,0.26732673267326734
24,Queens of the Stone Age,In My Head,269,30,0.11152416356877323
25,INXS,Need You Tonight,239,40,0.16736401673640167
26,U2,I Still Haven't Found What I'm Looking For,202,49,0.24257425742574257
27,Desert Sessions,Crawl Home,153,24,0.1568627450980392
28,Queens of the Stone Age,Go With the Flow,166,46,0.27710843373493976
29,Mad Season,Wake Up,208,39,0.1875
31,Them Crooked Vultures,Gunman,222,95,0.42792792792792794
32,Eagles of Death Metal,Anything 'Cept The Truth,114,35,0.30701754385964913
33,Eagles of Death Metal,Complexity,268,65,0.24253731343283583
34,Queens of the Stone Age,Better Living Through Chemistry,159,44,0.27672955974842767
35,Alice in Chains,I Stay Away,86,30,0.3488372093023256
36,Led Zeppelin,When the Levee Breaks,244,53,0.21721311475409835
37,Depeche Mode,I Feel You,175,40,0.22857142857142856
39,The Cult,Big Neon Glitter,189,21,0.1111111111111111
40,The Police,Every Little Thing She Does Is Magic,389,56,0.14395886889460155
41,Them Crooked Vultures,Bandoliers,220,60,0.2727272727272727
42,Queens of the Stone Age,3's & 7's,186,60,0.3225806451612903
43,Interpol,The Rover,221,71,0.3212669683257919
44,Alice in Chains,Rotten Apple,192,29,0.15104166666666666
45,Beastie Boys,Jimmy James,247,84,0.340080971659919
46,The Cult,Black Sun,345,59,0.17101449275362318
47,U2,All I Want Is You,173,37,0.2138728323699422
48,Nine Inch Nails,Only,346,70,0.2023121387283237
49,Led Zeppelin,Trampled Under Foot,346,94,0.27167630057803466
50,Van Halen,I'll Wait,243,58,0.23868312757201646
51,Death from Above 1979,Pull Out,180,12,0.06666666666666667
52,Duran Duran,Save a Prayer,357,68,0.19047619047619047
53,Queens of the Stone Age,Long Slow Goodbye,166,27,0.16265060240963855
54,Dave Grohl,Mantra,272,82,0.3014705882352941
55,Eagles of Death Metal,Cheap Thrills,93,28,0.3010752688172043
56,Mad Season,X-Ray Mind,116,54,0.46551724137931033
58,Queens of the Stone Age,You Can't Quit Me Baby,160,31,0.19375
60,The Fixx,One Thing Leads To Another,378,80,0.21164021164021163
61,Ian Astbury,High Time Amplifier,432,31,0.07175925925925926
64,Death from Above 1979,Romantic Rights,271,52,0.1918819188191882
65,Beck,Hell Yes,266,123,0.462406015037594
66,Jack White,Sixteen Saltines,263,102,0.38783269961977185
67,Queens of the Stone Age,"Sick, Sick, Sick",267,70,0.26217228464419473
68,Van Halen,Girl Gone Bad,118,32,0.2711864406779661
71,Screaming Trees,Nearly Lost You,174,35,0.20114942528735633
72,The Black Angels,Science Killer,57,22,0.38596491228070173
73,The Dead Weather,I Feel Love (Every Million Miles),217,29,0.1336405529953917
74,Desert Sessions,In My Head...Or Something,337,27,0.08011869436201781
75,Eagles of Death Metal,Careless Whisper,289,73,0.25259515570934254
76,Primus,Jerry Was a Race Car Driver,148,59,0.39864864864864863
77,Queens of the Stone Age,Make It Wit Chu,241,44,0.1825726141078838
78,The White Stripes,Blue Orchid,171,33,0.19298245614035087
79,Beastie Boys,Too Many Rappers,732,264,0.36065573770491804
80,UNKLE,Restless (Featuring Josh Homme),294,57,0.19387755102040816
81,Jack White,Lazaretto,225,86,0.38222222222222224
82,Jane's Addiction,Just Because,133,21,0.15789473684210525
83,Ozzy Osbourne,Shot in the Dark,252,56,0.2222222222222222
84,Queens of the Stone Age,Into the Hollow,97,35,0.36082474226804123
85,Queens of the Stone Age,Un-Reborn Again,437,114,0.2608695652173913
86,Jamiroquai,Automaton,369,109,0.2953929539295393
87,Queens of the Stone Age,The Bronze,126,28,0.2222222222222222
88,Snow Patrol,Shut Your Eyes,184,39,0.21195652173913043
89,The Black Keys,Do the Rump,68,8,0.11764705882352941
90,De La Soul,Breakadawn,839,299,0.3563766388557807
91,deadmau5,Drama Free,391,63,0.16112531969309463
92,Desert Sessions,I Wanna Make It Wit Chu,217,43,0.19815668202764977
94,Radiohead,Optimistic,219,46,0.2100456621004566
96,The Black Keys,Leavin' Trunk,70,29,0.4142857142857143
97,The Cult,Saints Are Down,223,48,0.21524663677130046
98,Alice in Chains,What The Hell Have I,131,35,0.26717557251908397
100,Duran Duran,New Moon On Monday,338,61,0.1804733727810651
102,Radiohead,"There, There",153,35,0.22875816993464052
103,The Black Keys,Good Love (feat. Billy F Gibbons),84,24,0.2857142857142857
105,The Black Keys,Sinister Kid,218,47,0.21559633027522937
106,Alice in Chains,Dam That River,151,39,0.2582781456953642
108,Death from Above 1979,"Go Home, Get Down",151,29,0.19205298013245034
110,The Dead Weather,I Cut Like a Buffalo,268,49,0.1828358208955224
111,Death from Above 1979,Do It!,208,37,0.1778846153846154
112,Radiohead,15 Step,162,35,0.21604938271604937
113,The Cult,Brother Wolf; Sister Moon,179,22,0.12290502793296089
114,The Cult,If,271,57,0.21033210332103322
115,Alice in Chains,Put You Down,189,35,0.18518518518518517
116,Queen,Another One Bites the Dust,335,64,0.191044776119403
117,Silversun Pickups,Lazy Eye,146,48,0.3287671232876712
118,The Cult,The Witch,329,40,0.12158054711246201
119,Van Halen,House Of Pain,117,30,0.2564102564102564
121,Johnny Cash,One,253,61,0.24110671936758893
122,Nine Inch Nails,Head Down,135,28,0.2074074074074074
123,The Black Angels,You on the Run,125,42,0.336
124,The Black Keys,She's Long Gone,107,33,0.308411214953271
125,The Jon Spencer Blues Explosion,Lovin' Machine,183,58,0.31693989071038253
126,The Mars Volta,L'Via L'Viaquez,469,117,0.24946695095948826
128,Band of Horses,The Funeral,174,34,0.19540229885057472
129,Beastie Boys,Nonstop Disco Powerpack,741,266,0.358974358974359
130,Billy Idol,Eyes Without a Face,309,93,0.30097087378640774
131,Khruangbin,Texas Sun,225,54,0.24
132,Soundgarden,Room a Thousand Years Wide,108,31,0.28703703703703703
133,The Black Keys,The Desperate Man,150,46,0.30666666666666664
134,The Police,Synchronicity I,152,54,0.35526315789473684
135,The White Stripes,Catch Hell Blues,125,48,0.384
136,Wolfmother,Dimension,176,53,0.30113636363636365
137,Amy Winehouse,In My Bed,280,78,0.2785714285714286
138,Death from Above 1979,"You're a Woman, I'm a Machine",156,22,0.14102564102564102
141,Radiohead,House of Cards,115,28,0.24347826086956523
142,The Dead Weather,Hustle and Cuss,251,34,0.13545816733067728
143,Amy Winehouse,Back to Black,217,46,0.2119815668202765
144,Beastie Boys,Don't Play No Game That I Can't Win,441,117,0.2653061224489796
145,Death from Above 1979,Crystal Ball,198,46,0.23232323232323232
146,Def Leppard,Photograph,263,54,0.20532319391634982
148,Jack White,Love Is Blindness,180,55,0.3055555555555556
150,Soundgarden,Fell on Black Days,251,50,0.199203187250996
151,Tool,Forty Six & 2,296,81,0.27364864864864863
152,Alice in Chains,Dirt,221,39,0.17647058823529413
153,Alice in Chains,Them Bones,115,32,0.2782608695652174
154,Band of Horses,No One's Gonna Love You,239,42,0.17573221757322174
156,Ozzy Osbourne,Crazy Train,196,76,0.3877551020408163
157,Radiohead,Backdrifts,148,39,0.2635135135135135
158,Steely Dan,Josie,199,60,0.3015075376884422
159,Stone Temple Pilots,Sex Type Thing,347,31,0.0893371757925072
160,The Black Keys,Ten Cent Pistol,177,44,0.24858757062146894
162,The Smiths,How Soon Is Now?,203,42,0.20689655172413793
163,Young M.C.,Bust a Move,679,208,0.30633284241531666
164,Aerosmith,Round and Round,239,45,0.18828451882845187
165,Bebel Gilberto,Simplesmente,224,75,0.33482142857142855
167,Living Colour,Cult of Personality,262,63,0.24045801526717558
168,Radiohead,I Might Be Wrong,111,22,0.1981981981981982
169,Stone Temple Pilots,Dumb Love,217,47,0.21658986175115208
170,The Cult,Wild Flower,177,40,0.22598870056497175
172,Alice in Chains,Nutshell,82,27,0.32926829268292684
175,Creedence Clearwater Revival,Born on the Bayou,199,42,0.21105527638190955
176,Death from Above 1979,Blood on Our Hands,238,34,0.14285714285714285
177,Depeche Mode,Walking in My Shoes,278,59,0.21223021582733814
178,Evil Nine,Devil Stuff,44,18,0.4090909090909091
179,G. Love & Special Sauce,Shy Girl,115,33,0.28695652173913044
180,Heart,Barracuda,189,66,0.3492063492063492
181,Madlib,Mystic Bounce,34,19,0.5588235294117647
182,Ozzy Osbourne,Bark at the Moon,171,55,0.3216374269005848
183,Queens of the Stone Age,Do It Again,315,76,0.24126984126984127
184,Steve Miller Band,Abracadabra,307,60,0.19543973941368079
185,The Cult,In the Clouds,172,38,0.22093023255813954
186,The Cult,Soul Asylum,227,36,0.15859030837004406
188,Coldplay,Clocks,167,46,0.2754491017964072
189,Duran Duran,Rio,323,79,0.24458204334365324
190,Johnny Cash,Ring of Fire,195,20,0.10256410256410256
191,Kylie Auldist,Cut You Loose,291,42,0.14432989690721648
192,Led Zeppelin,Babe I'm Gonna Leave You,280,45,0.16071428571428573
193,No Doubt,It's My Life,163,31,0.1901840490797546
194,Queens of the Stone Age,Villains of Circumstance,243,69,0.2839506172839506
195,Soundgarden,Jesus Christ Pose,197,35,0.17766497461928935
196,The Champs,Tequila,2,1,0.5
197,Them Crooked Vultures,Caligulove,189,54,0.2857142857142857
199,Black Lips,Veni Vidi Vici,74,28,0.3783783783783784
200,Built to Spill,Goin' Against Your Mind,255,42,0.16470588235294117
201,INXS,The Gift,238,41,0.1722689075630252
202,Joseph,Canyon,247,50,0.20242914979757085
203,Lenny Kravitz,Always on the Run,214,42,0.19626168224299065
204,M.I.A.,Bad Girls,458,80,0.17467248908296942
205,Mad Season,X-Ray Mind - Live at The Moore,116,54,0.46551724137931033
206,MSTRKRFT,It Aint Love,215,36,0.16744186046511628
207,Queens of the Stone Age,Little Sister,139,38,0.2733812949640288
208,The Black Angels,Black Isn't Black,145,28,0.19310344827586207
209,The Bright Light Social Hour,Sea Of The Edge,50,20,0.4
210,Van Halen,Atomic Punk,124,28,0.22580645161290322
211,Eagles of Death Metal,I'm Your Torpedo,128,38,0.296875
212,Soundgarden,Holy Water,170,47,0.27647058823529413
213,Temple of the Dog,Pushin' Forward Back,224,34,0.15178571428571427
214,The Black Angels,The Prodigal Sun,109,37,0.3394495412844037
215,The Black Keys,Have Mercy On Me,21,3,0.14285714285714285
216,The Stooges,Down On The Street,124,20,0.16129032258064516
217,U2,One,269,59,0.21933085501858737
219,Zero 7,In the Waiting Line,271,43,0.15867158671586715
220,Alice in Chains,A Little Bitter,185,80,0.43243243243243246
221,blink-182,Adam's Song,272,77,0.28308823529411764
222,Coldplay,Adventure of a Lifetime,290,45,0.15517241379310345
223,Death from Above 1979,Government Trash,157,51,0.3248407643312102
224,Eagles of Death Metal,Long Slow Goodbye,166,26,0.1566265060240964
225,Gary Clark Jr.,When My Train Pulls In - Live,208,61,0.2932692307692308
226,Journey,Separate Ways,232,60,0.25862068965517243
227,Nine Inch Nails,The Hand That Feeds,295,49,0.16610169491525423
228,Nirvana,The Man Who Sold the World,228,59,0.25877192982456143
