rank,artist,track,topic
2,Queens of the Stone Age,The Blood Is Love,-1
3,Death from Above 1979,Turn It Out,-1
4,Death from Above 1979,NVR 4EVR,-1
5,Death from Above 1979,Going Steady,-1
6,Alice in Chains,Would?,-1
7,Death from Above 1979,Sexy Results,-1
9,Queens of the Stone Age,Misfit Love,-1
13,Them Crooked Vultures,Spinning in Daffodils,-1
14,Death from Above 1979,Nomad,-1
16,Death from Above 1979,White Is Red,-1
17,Alice in Chains,No Excuses,-1
19,Jack White,Hypocritical Kiss,-1
20,Death from Above 1979,Romantic Rights,-1
