original_rank,original_artist,original_track,original_scrobbles,cover_artist,cover_track,cover_year,cover_genre,cover_url,whosampled_url,fetched_at
6,Alice in Chains,Would?,110,Opeth,Would?,2008,Rock / Pop,https://www.whosampled.com/cover/32750/Opeth-Would%3F-Alice-in-Chains-Would%3F/,https://www.whosampled.com/Alice-in-Chains/Would%3F/covered/,2025-12-28T20:54:59.747656
6,Alice in Chains,Would?,110,Metallica,Would?,2020,Rock / Pop,https://www.whosampled.com/cover/799665/Metallica-Would%3F-Alice-in-Chains-Would%3F/,https://www.whosampled.com/Alice-in-Chains/Would%3F/covered/,2025-12-28T20:54:59.747656
6,Alice in Chains,Would?,110,Queens of Dogtown,Would?,2011,Rock / Pop,https://www.whosampled.com/cover/131761/Queens-of-Dogtown-Would%3F-Alice-in-Chains-Would%3F/,https://www.whosampled.com/Alice-in-Chains/Would%3F/covered/,2025-12-28T20:54:59.747656
6,Alice in Chains,Would?,110,Ensoph,Would?,2009,Rock / Pop,https://www.whosampled.com/cover/525223/Ensoph-Would%3F-Alice-in-Chains-Would%3F/,https://www.whosampled.com/Alice-in-Chains/Would%3F/covered/,2025-12-28T20:54:59.747656
6,Alice in Chains,Would?,110,The Otolith,Would?,2020,Rock / Pop,https://www.whosampled.com/cover/1351177/The-Otolith-Would%3F-Alice-in-Chains-Would%3F/,https://www.whosampled.com/Alice-in-Chains/Would%3F/covered/,2025-12-28T20:54:59.747656
6,Alice in Chains,Would?,110,Anthony Vincent feat. Violet Orlandi,Would? (Piano Ballad Cover),2021,Rock / Pop,https://www.whosampled.com/cover/817030/Anthony-Vincent-Violet-Orlandi-Would%3F-(Piano-Ballad-Cover)-Alice-in-Chains-Would%3F/,https://www.whosampled.com/Alice-in-Chains/Would%3F/covered/,2025-12-28T20:54:59.747656
6,Alice in Chains,Would?,110,Weiner,Would,2022,Rock / Pop,https://www.whosampled.com/cover/1137774/Weiner-Would-Alice-in-Chains-Would%3F/,https://www.whosampled.com/Alice-in-Chains/Would%3F/covered/,2025-12-28T20:54:59.747656
6,Alice in Chains,Would?,110,The New Dominions,Would?,2002,Rock / Pop,https://www.whosampled.com/cover/683760/The-New-Dominions-Would%3F-Alice-in-Chains-Would%3F/,https://www.whosampled.com/Alice-in-Chains/Would%3F/covered/,2025-12-28T20:54:59.747656
6,Alice in Chains,Would?,110,AKODA,Would?,2022,Rock / Pop,https://www.whosampled.com/cover/1137747/AKODA-Would%3F-Alice-in-Chains-Would%3F/,https://www.whosampled.com/Alice-in-Chains/Would%3F/covered/,2025-12-28T20:54:59.747656
6,Alice in Chains,Would?,110,Juan Carlos Cano,Would?,2021,Rock / Pop,https://www.whosampled.com/cover/890015/Juan-Carlos-Cano-Would%3F-Alice-in-Chains-Would%3F/,https://www.whosampled.com/Alice-in-Chains/Would%3F/covered/,2025-12-28T20:54:59.747656
6,Alice in Chains,Would?,110,Déjà Vu (Cover Band),Would,2011,Rock / Pop,https://www.whosampled.com/cover/744276/D%C3%A9j%C3%A0-Vu-(Cover-Band)-Would-Alice-in-Chains-Would%3F/,https://www.whosampled.com/Alice-in-Chains/Would%3F/covered/,2025-12-28T20:54:59.747656
6,Alice in Chains,Would?,110,Reese Van Riper,Would?,2023,Rock / Pop,https://www.whosampled.com/cover/1209567/Reese-Van-Riper-Would%3F-Alice-in-Chains-Would%3F/,https://www.whosampled.com/Alice-in-Chains/Would%3F/covered/,2025-12-28T20:54:59.747656
6,Alice in Chains,Would?,110,Brass Against feat. Samuel Hope,Would?,2023,Rock / Pop,https://www.whosampled.com/cover/1326079/Brass-Against-Samuel-Hope-Would%3F-Alice-in-Chains-Would%3F/,https://www.whosampled.com/Alice-in-Chains/Would%3F/covered/,2025-12-28T20:54:59.747656
