artist,artist_sort,name_length,classical,scrobbles,library_url
"Neues Bachisches Collegium Musicum, Burkhard Glaetzner, Christine Schornsheim","Neues Bachisches Collegium Musicum, Burkhard Glaetzner, Christine Schornsheim",77,1,1,https://www.last.fm/user/sugarsmax/library/music/Neues%20Bachisches%20Collegium%20Musicum%2C%20Burkhard%20Glaetzner%2C%20Christine%20Schornsheim
"Miles Davis, John Coltrane, Cannonball Adderley, Wynton Kelly, Paul Chambers","Miles Davis, John Coltrane, Cannonball Adderley, Wynton Kelly, Paul Chambers",76,1,1,https://www.last.fm/user/sugarsmax/library/music/Miles%20Davis%2C%20John%20Coltrane%2C%20Cannonball%20Adderley%2C%20Wynton%20Kelly%2C%20Paul%20Chambers
"Irena Grafenauer, Kammerorchester Carl Philipp Emanuel Bach, Peter Schreier","Irena Grafenauer, Kammerorchester Carl Philipp Emanuel Bach, Peter Schreier",75,1,1,https://www.last.fm/user/sugarsmax/library/music/Irena%20Grafenauer%2C%20Kammerorchester%20Carl%20Philipp%20Emanuel%20Bach%2C%20Peter%20Schreier
"Academy of St Martin in the Fields, Sir Neville Marriner, Kenneth Sillito","Academy of St Martin in the Fields, Sir Neville Marriner, Kenneth Sillito",73,1,1,https://www.last.fm/user/sugarsmax/library/music/Academy%20of%20St%20Martin%20in%20the%20Fields%2C%20Sir%20Neville%20Marriner%2C%20Kenneth%20Sillito
"Arthur Grumiaux, Heinz Holliger, New Philharmonia Orchestra, Edo de Waart","Arthur Grumiaux, Heinz Holliger, New Philharmonia Orchestra, Edo de Waart",73,1,1,https://www.last.fm/user/sugarsmax/library/music/Arthur%20Grumiaux%2C%20Heinz%20Holliger%2C%20New%20Philharmonia%20Orchestra%2C%20Edo%20de%20Waart
"Iona Brown, Academy of St Martin in the Fields, Sir Neville Marriner","Iona Brown, Academy of St Martin in the Fields, Sir Neville Marriner",68,1,1,https://www.last.fm/user/sugarsmax/library/music/Iona%20Brown%2C%20Academy%20of%20St%20Martin%20in%20the%20Fields%2C%20Sir%20Neville%20Marriner
"Mstislav Rostropovich, Berliner Philharmoniker, Herbert Von Karajan","Mstislav Rostropovich, Berliner Philharmoniker, Herbert Von Karajan",67,1,1,https://www.last.fm/user/sugarsmax/library/music/Mstislav%20Rostropovich%2C%20Berliner%20Philharmoniker%2C%20Herbert%20Von%20Karajan
"Christophe Rousset, Academy Of Ancient Music, Christopher Hogwood","Christophe Rousset, Academy Of Ancient Music, Christopher Hogwood",65,1,1,https://www.last.fm/user/sugarsmax/library/music/Christophe%20Rousset%2C%20Academy%20Of%20Ancient%20Music%2C%20Christopher%20Hogwood
"Heinz Holliger, Academy of St Martin in the Fields, Iona Brown","Heinz Holliger, Academy of St Martin in the Fields, Iona Brown",62,1,1,https://www.last.fm/user/sugarsmax/library/music/Heinz%20Holliger%2C%20Academy%20of%20St%20Martin%20in%20the%20Fields%2C%20Iona%20Brown
"Jean Louis Steuerman, Chamber Orchestra of Europe, James Judd","Jean Louis Steuerman, Chamber Orchestra of Europe, James Judd",61,1,1,https://www.last.fm/user/sugarsmax/library/music/Jean%20Louis%20Steuerman%2C%20Chamber%20Orchestra%20of%20Europe%2C%20James%20Judd
"Arthur Grumiaux, English Chamber Orchestra, Raymond Leppard","Arthur Grumiaux, English Chamber Orchestra, Raymond Leppard",59,1,1,https://www.last.fm/user/sugarsmax/library/music/Arthur%20Grumiaux%2C%20English%20Chamber%20Orchestra%2C%20Raymond%20Leppard
George Frederic Handel & The Ljubljana Symphony Orchestra,George Frederic Handel & The Ljubljana Symphony Orchestra,57,1,1,https://www.last.fm/user/sugarsmax/library/music/George%20Frederic%20Handel%20%26%20The%20Ljubljana%20Symphony%20Orchestra
"Johann Sebastian Bach, The Classical Renaissance Symphony","Johann Sebastian Bach, The Classical Renaissance Symphony",57,1,1,https://www.last.fm/user/sugarsmax/library/music/Johann%20Sebastian%20Bach%2C%20The%20Classical%20Renaissance%20Symphony
Doctor Sleep | The Battle in the Hedge Maze | ClipZone,Doctor Sleep | The Battle in the Hedge Maze | ClipZone,54,,1,https://www.last.fm/user/sugarsmax/library/music/Doctor%20Sleep%20%7C%20The%20Battle%20in%20the%20Hedge%20Maze%20%7C%20ClipZone
"Friedrich Gulda, Wiener Philharmoniker, Claudio Abbado","Friedrich Gulda, Wiener Philharmoniker, Claudio Abbado",54,1,1,https://www.last.fm/user/sugarsmax/library/music/Friedrich%20Gulda%2C%20Wiener%20Philharmoniker%2C%20Claudio%20Abbado
"András Schiff, Orchestra Of The Age Of Enlightenment","András Schiff, Orchestra Of The Age Of Enlightenment",52,1,1,https://www.last.fm/user/sugarsmax/library/music/Andr%C3%A1s%20Schiff%2C%20Orchestra%20Of%20The%20Age%20Of%20Enlightenment
